,,,,,,,,,,20,1,2,3,4,5,,
,,,,,,,,,,20,1,2,3,4,5,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ｉ　健康・医療　　　I. Health and Medical Care,,,,,,,
,,,,,,,,,,80,81,82,83,84,85,,
,,,,,,,,市区町村,Municipalities,一般病院数,"一般
診療所数","歯科
診療所数",医師数,歯科医師数,薬剤師数,"市区
町村
ｺｰﾄﾞ",
,,,,,,,,,,Number of general hospitals,Number of general clinics,Number of dental clinics,Number of physicians,Number of dentists,Number of pharmacists,,
,,,,,,,,,,I510120,I5102,I5103,I6100,I6200,I6300,,
,,,,,,,,,,施設:number of hospitals,施設:number of clinics,施設:number of clinics,人:person,人:person,人:person,,
305  ,01230       ,IJ          ,  ,,41,,01230,登別市　　　　,Noboribetsu-shi,6,17,21,52,25,49,01230,
305  ,01231       ,IJ          ,  ,,42,,01231,恵庭市　　　　,Eniwa-shi,5,36,35,119,42,129,01231,
305  ,01233       ,IJ          ,  ,,43,,01233,伊達市　　　　,Date-shi,2,28,19,68,21,70,01233,
305  ,01234       ,IJ          ,  ,,44,,01234,北広島市　　　,Kitahiroshima-shi,5,36,32,58,43,88,01234,
305  ,01235       ,IJ          ,  ,,45,,01235,石狩市　　　　,Ishikari-shi,4,26,24,59,33,78,01235,
305  ,01236       ,IJ          ,  ,,46,,01236,北斗市　　　　,Hokuto-shi,0,26,16,25,18,43,01236,
305  ,01303       ,IJ          ,  ,,47,,01303,当別町　　　　,Tobetsu-cho,0,12,6,23,117,62,01303,
305  ,01304       ,IJ          ,  ,,48,,01304,新篠津村　　　,Shinshinotsu-mura,0,3,1,2,3,2,01304,
305  ,01331       ,IJ          ,  ,,49,,01331,松前町　　　　,Matsumae-cho,1,3,4,8,3,10,01331,
305  ,01332       ,IJ          ,  ,,50,,01332,福島町　　　　,Fukushima-cho,0,3,2,2,2,2,01332,
305  ,01333       ,IJ          ,  ,,51,,01333,知内町　　　　,Shiriuchi-cho,0,4,2,2,2,1,01333,
305  ,01334       ,IJ          ,  ,,52,,01334,木古内町　　　,Kikonai-cho,1,3,1,7,1,5,01334,
305  ,01337       ,IJ          ,  ,,53,,01337,七飯町　　　　,Nanae-cho,2,18,10,36,13,25,01337,
305  ,01343       ,IJ          ,  ,,54,,01343,鹿部町　　　　,Shikabe-cho,0,2,1,2,1,3,01343,
305  ,01345       ,IJ          ,  ,,55,,01345,森町　　　　　,Mori-machi,2,8,6,17,7,11,01345,
305  ,01346       ,IJ          ,  ,,56,,01346,八雲町　　　　,Yakumo-cho,2,5,7,25,9,28,01346,
305  ,01347       ,IJ          ,  ,,57,,01347,長万部町　　　,Oshamambe-cho,1,2,3,4,4,5,01347,
305  ,01361       ,IJ          ,  ,,58,,01361,江差町　　　　,Esashi-cho,2,4,3,15,4,16,01361,
305  ,01362       ,IJ          ,  ,,59,,01362,上ノ国町　　　,Kaminokuni-cho,0,3,2,2,3,0,01362,
305  ,01363       ,IJ          ,  ,,60,,01363,厚沢部町　　　,Assabu-cho,1,1,1,4,1,3,01363,
305  ,01364       ,IJ          ,  ,,61,,01364,乙部町　　　　,Otobe-cho,1,1,1,4,2,3,01364,
305  ,01367       ,IJ          ,  ,,62,,01367,奥尻町　　　　,Okushiri-cho,1,3,0,3,1,2,01367,
305  ,01370       ,IJ          ,  ,,63,,01370,今金町　　　　,Imakane-cho,1,4,2,6,2,9,01370,
305  ,01371       ,IJ          ,  ,,64,,01371,せたな町　　　,Setana-cho,2,5,4,9,5,10,01371,
305  ,01391       ,IJ          ,  ,,65,,01391,島牧村　　　　,Shimamaki-mura,0,1,0,1,1,0,01391,
305  ,01392       ,IJ          ,  ,,66,,01392,寿都町　　　　,Suttsu-cho,0,2,2,5,2,2,01392,
305  ,01393       ,IJ          ,  ,,67,,01393,黒松内町　　　,Kuromatsunai-cho,0,5,1,6,1,2,01393,
305  ,01394       ,IJ          ,  ,,68,,01394,蘭越町　　　　,Rankoshi-cho,1,3,2,3,2,4,01394,
305  ,01395       ,IJ          ,  ,,69,,01395,ニセコ町　　　,Niseko-cho,0,2,2,2,3,4,01395,
305  ,01396       ,IJ          ,  ,,70,,01396,真狩村　　　　,Makkari-mura,0,3,1,2,1,3,01396,
305  ,01397       ,IJ          ,  ,,71,,01397,留寿都村　　　,Rusutsu-mura,0,2,1,2,1,0,01397,
305  ,01398       ,IJ          ,  ,,72,,01398,喜茂別町　　　,Kimobetsu-cho,0,2,2,2,2,1,01398,
305  ,01399       ,IJ          ,  ,,73,,01399,京極町　　　　,Kyogoku-cho,0,2,2,3,3,2,01399,
305  ,01400       ,IJ          ,  ,,74,,01400,倶知安町　　　,Kutchan-cho,1,11,8,41,9,28,01400,
305  ,01401       ,IJ          ,  ,,75,,01401,共和町　　　　,Kyowa-cho,0,4,3,2,5,1,01401,
305  ,01402       ,IJ          ,  ,,76,,01402,岩内町　　　　,Iwanai-cho,1,10,7,17,7,27,01402,
305  ,01403       ,IJ          ,  ,,77,,01403,泊村　　　　　,Tomari-mura,0,4,1,2,1,0,01403,
305  ,01404       ,IJ          ,  ,,78,,01404,神恵内村　　　,Kamoenai-mura,0,1,1,2,1,0,01404,
305  ,01405       ,IJ          ,  ,,79,,01405,積丹町　　　　,Shakotan-cho,0,2,1,1,2,2,01405,
305  ,01406       ,IJ          ,  ,,80,,01406,古平町　　　　,Furubira-cho,0,1,2,1,2,2,01406,
305  ,01407       ,IJ          ,  ,,81,,01407,仁木町　　　　,Niki-cho,0,3,2,2,2,1,01407,
305  ,01408       ,IJ          ,  ,,82,,01408,余市町　　　　,Yoichi-cho,1,15,12,27,15,36,01408,
305  ,01409       ,IJ          ,  ,,83,,01409,赤井川村　　　,Akaigawa-mura,0,1,0,1,0,0,01409,
305  ,01423       ,IJ          ,  ,,84,,01423,南幌町　　　　,Nanporo-cho,1,2,5,6,7,4,01423,
305  ,01424       ,IJ          ,  ,,85,,01424,奈井江町　　　,Naie-cho,1,3,3,8,3,5,01424,
305  ,01425       ,IJ          ,  ,,86,,01425,上砂川町　　　,Kamisunagawa-cho,0,3,1,2,1,2,01425,
305  ,01427       ,IJ          ,  ,,87,,01427,由仁町　　　　,Yuni-cho,0,5,4,4,5,5,01427,
305  ,01428       ,IJ          ,  ,,88,,01428,長沼町　　　　,Naganuma-cho,1,6,4,11,5,24,01428,
305  ,01429       ,IJ          ,  ,,89,,01429,栗山町　　　　,Kuriyama-cho,1,8,8,14,9,21,01429,
305  ,01430       ,IJ          ,  ,,90,,01430,月形町　　　　,Tsukigata-cho,1,4,2,3,2,5,01430,
305  ,01431       ,IJ          ,  ,,91,,01431,浦臼町　　　　,Urausu-cho,0,3,1,1,0,1,01431,
305  ,01432       ,IJ          ,  ,,92,,01432,新十津川町　　,Shintotsukawa-cho,1,2,3,8,4,10,01432,
305  ,01433       ,IJ          ,  ,,93,,01433,妹背牛町　　　,Moseushi-cho,0,1,2,2,4,0,01433,
305  ,01434       ,IJ          ,  ,,94,,01434,秩父別町　　　,Chippubetsu-cho,0,2,1,1,1,1,01434,
305  ,01436       ,IJ          ,  ,,95,,01436,雨竜町　　　　,Uryu-cho,1,1,1,2,1,1,01436,
305  ,01437       ,IJ          ,  ,,96,,01437,北竜町　　　　,Hokuryu-cho,0,2,1,1,2,0,01437,
305  ,01438       ,IJ          ,  ,,97,,01438,沼田町　　　　,Numata-cho,0,3,2,2,2,1,01438,
305  ,01452       ,IJ          ,  ,,98,,01452,鷹栖町　　　　,Takasu-cho,0,2,2,1,2,3,01452,
305  ,01453       ,IJ          ,  ,,99,,01453,東神楽町　　　,Higashikagura-cho,0,3,4,10,6,4,01453,
305  ,01454       ,IJ          ,  ,,100,,01454,当麻町　　　　,Tohma-cho,0,4,2,3,3,6,01454,
305  ,01455       ,IJ          ,  ,,101,,01455,比布町　　　　,Pippu-cho,0,4,1,1,2,3,01455,
305  ,01456       ,IJ          ,  ,,102,,01456,愛別町　　　　,Aibetsu-cho,0,2,1,1,1,1,01456,
305  ,01457       ,IJ          ,  ,,103,,01457,上川町　　　　,Kamikawa-cho,0,3,2,3,3,6,01457,
305  ,01458       ,IJ          ,  ,,104,,01458,東川町　　　　,Higashikawa-cho,0,3,2,3,3,7,01458,
305  ,01459       ,IJ          ,  ,,105,,01459,美瑛町　　　　,Biei-cho,1,3,4,8,5,14,01459,
305  ,01460       ,IJ          ,  ,,106,,01460,上富良野町　　,Kamifurano-cho,1,4,5,5,7,15,01460,
305  ,01461       ,IJ          ,  ,,107,,01461,中富良野町　　,Nakafurano-cho,1,1,2,2,2,3,01461,
305  ,01462       ,IJ          ,  ,,108,,01462,南富良野町　　,Minamifurano-cho,0,6,1,2,1,4,01462,
305  ,01463       ,IJ          ,  ,,109,,01463,占冠村　　　　,Shimukappu-mura,0,2,3,1,1,0,01463,
305  ,01464       ,IJ          ,  ,,110,,01464,和寒町　　　　,Wassamu-cho,0,4,2,3,3,4,01464,
305  ,01465       ,IJ          ,  ,,111,,01465,剣淵町　　　　,Kembuchi-cho,0,3,2,1,2,2,01465,
305  ,01468       ,IJ          ,  ,,112,,01468,下川町　　　　,Shimokawa-cho,1,1,0,0,1,3,01468,
305  ,01469       ,IJ          ,  ,,113,,01469,美深町　　　　,Bifuka-cho,1,2,1,3,3,1,01469,
305  ,01470       ,IJ          ,  ,,114,,01470,音威子府村　　,Otoineppu-mura,0,1,0,1,0,1,01470,
305  ,01471       ,IJ          ,  ,,115,,01471,中川町　　　　,Nakagawa-cho,0,2,1,1,1,1,01471,
305  ,01472       ,IJ          ,  ,,116,,01472,幌加内町　　　,Horokanai-cho,0,5,1,2,1,1,01472,
305  ,01481       ,IJ          ,  ,,117,,01481,増毛町　　　　,Mashike-cho,0,5,1,2,2,4,01481,
305  ,01482       ,IJ          ,  ,,118,,01482,小平町　　　　,Obira-cho,0,3,2,1,1,0,01482,
